material_code,material_name,category,quantity_required,stock_qty,reorder_level,size_category,product_id,rack,shelf,box_id
RM001,Copper Wire (0.5mm),Electrical,0.3,600,150,large,P001,RK-M01,1,RK-M01-SH01-BX01
RM002,Silicon Steel Sheet,Metal,1.2,600,150,large,P001,RK-M05,1,RK-M05-SH01-BX01
RM003,Aluminum Die Cast Body,Metal,1,1200,450,medium,P001,RK-M06,1,RK-M06-SH01-BX01
RM004,Capacitor (2.5 uF),Electronic Component,1,6750,1650,small,P001,RK-M02,1,RK-M02-SH01-BX01
RM005,Ball Bearing (6202),Mechanical,2,1200,300,medium,P001,RK-M04,1,RK-M04-SH01-BX01
RM006,ABS Plastic Blade,Plastic,3,1050,450,medium,P001,RK-M06,3,RK-M06-SH03-BX03
RM007,Power Cable (3-core),Electrical,1.5,450,150,large,P001,RK-M01,2,RK-M01-SH02-BX01
RM008,Copper Wire (0.5mm),Electrical,0.3,600,150,large,P002,RK-M01,1,RK-M01-SH01-BX01
RM009,Silicon Steel Sheet,Metal,1.2,600,300,large,P002,RK-M05,1,RK-M05-SH01-BX01
RM010,Ball Bearing (6202),Mechanical,2,1350,300,medium,P002,RK-M04,1,RK-M04-SH01-BX01
RM011,Cast Iron Pump Body,Metal,1,600,300,large,P002,RK-M06,2,RK-M06-SH02-BX01
RM012,Mechanical Seal,Mechanical,2,1050,300,medium,P002,RK-M04,2,RK-M04-SH02-BX01
RM013,Impeller (Stainless Steel),Metal,1,1350,450,medium,P002,RK-M06,2,RK-M06-SH02-BX02
RM014,Power Cable (3-core),Electrical,1.5,450,150,large,P002,RK-M01,2,RK-M01-SH02-BX01
RM015,Copper Wire (0.5mm),Electrical,0.3,600,300,large,P003,RK-M01,1,RK-M01-SH01-BX01
RM016,Silicon Steel Sheet,Metal,1.2,600,300,large,P003,RK-M05,1,RK-M05-SH01-BX01
RM017,Ball Bearing (6202),Mechanical,2,1200,600,medium,P003,RK-M04,1,RK-M04-SH01-BX01
RM018,Motor Shaft (Steel),Metal,1,600,150,large,P003,RK-M05,2,RK-M05-SH02-BX01
RM019,Rotor Assembly,Mechanical,1,600,300,large,P003,RK-M05,2,RK-M05-SH02-BX02
RM020,Stator Frame (Cast Iron),Metal,1,600,300,large,P003,RK-M05,2,RK-M05-SH02-BX03
RM021,Power Cable (3-core),Electrical,1.5,600,150,large,P003,RK-M01,2,RK-M01-SH02-BX01
RM022,Copper Wire (0.5mm),Electrical,0.3,600,150,large,P004,RK-M01,1,RK-M01-SH01-BX01
RM023,Ball Bearing (6202),Mechanical,2,1050,300,medium,P004,RK-M04,1,RK-M04-SH01-BX01
RM024,Cast Iron Pump Body,Metal,1,450,150,large,P004,RK-M06,2,RK-M06-SH02-BX01
RM025,Pressure Tank (24L Steel),Metal,1,600,150,large,P004,RK-M07,3,RK-M07-SH03-BX01
RM026,Pressure Relief Valve,Mechanical,1,1050,300,medium,P004,RK-M04,3,RK-M04-SH03-BX01
RM027,Piston Ring Set,Mechanical,1,1050,600,medium,P004,RK-M04,2,RK-M04-SH02-BX03
RM028,Mechanical Seal,Mechanical,2,1200,450,medium,P004,RK-M04,2,RK-M04-SH02-BX01
RM029,Power Cable (3-core),Electrical,1.5,450,300,large,P004,RK-M01,2,RK-M01-SH02-BX01
RM030,Copper Wire (0.5mm),Electrical,0.3,450,150,large,P005,RK-M01,1,RK-M01-SH01-BX01
RM031,Ball Bearing (6202),Mechanical,2,1350,450,medium,P005,RK-M04,1,RK-M04-SH01-BX01
RM032,Mechanical Seal,Mechanical,2,1200,450,medium,P005,RK-M04,2,RK-M04-SH02-BX01
RM033,Impeller (Stainless Steel),Metal,1,1350,450,medium,P005,RK-M06,2,RK-M06-SH02-BX02
RM034,Stainless Steel Casing,Metal,1,600,150,large,P005,RK-M06,2,RK-M06-SH02-BX03
RM035,Waterproof Cable (4-core),Electrical,3,600,150,large,P005,RK-M01,2,RK-M01-SH02-BX03
RM036,Copper Wire (0.5mm),Electrical,0.3,600,300,large,P006,RK-M01,1,RK-M01-SH01-BX01
RM037,Silicon Steel Sheet,Metal,1.2,600,150,large,P006,RK-M05,1,RK-M05-SH01-BX01
RM038,Aluminum Die Cast Body,Metal,1,1200,450,medium,P006,RK-M06,1,RK-M06-SH01-BX01
RM039,Ball Bearing (6202),Mechanical,2,1350,450,medium,P006,RK-M04,1,RK-M04-SH01-BX01
RM040,Galvanized Steel Blade,Metal,6,1050,300,medium,P006,RK-M06,3,RK-M06-SH03-BX01
RM041,Power Cable (3-core),Electrical,1.5,600,150,large,P006,RK-M01,2,RK-M01-SH02-BX01
RM042,Wire Guard Mesh,Metal,1,600,300,large,P006,RK-M06,3,RK-M06-SH03-BX02
RM043,Copper Wire (2.0mm),Electrical,2,600,150,large,P007,RK-M01,1,RK-M01-SH01-BX03
RM044,Silicon Steel Sheet,Metal,4,750,150,large,P007,RK-M05,1,RK-M05-SH01-BX01
RM045,Transformer Oil,Liquid,3,1050,300,medium,P007,RK-M03,1,RK-M03-SH01-BX01
RM046,Insulation Paper (Kraft),Insulation,0.5,450,300,large,P007,RK-M01,3,RK-M01-SH03-BX03
RM047,Steel Core Lamination,Metal,3,600,150,large,P007,RK-M01,3,RK-M01-SH03-BX02
RM048,Terminal Block,Electronic Component,6,4950,1950,small,P007,RK-M02,1,RK-M02-SH01-BX02
RM049,Terminal Block,Electronic Component,20,6900,2250,small,P008,RK-M02,1,RK-M02-SH01-BX02
RM050,MCB Circuit Breaker (32A),Electronic Component,6,6900,2700,small,P008,RK-M02,1,RK-M02-SH01-BX03
RM051,Copper Bus Bar,Electrical,0.8,450,300,large,P008,RK-M01,3,RK-M01-SH03-BX01
RM052,Sheet Metal Box (MS),Metal,1,600,150,large,P008,RK-M07,1,RK-M07-SH01-BX03
RM053,Power Cable (3-core),Electrical,1.5,600,300,large,P008,RK-M01,2,RK-M01-SH02-BX01
RM054,DIN Rail (1m),Electronic Component,2,5100,2100,small,P008,RK-M02,2,RK-M02-SH02-BX01
RM055,Ball Bearing (6202),Mechanical,4,1200,600,medium,P009,RK-M04,1,RK-M04-SH01-BX01
RM056,Motor Shaft (Steel),Metal,1,600,150,large,P009,RK-M05,2,RK-M05-SH02-BX01
RM057,Helical Gear Set,Mechanical,1,600,150,large,P009,RK-M05,3,RK-M05-SH03-BX02
RM058,Stator Frame (Cast Iron),Metal,1,600,300,large,P009,RK-M05,2,RK-M05-SH02-BX03
RM059,Gear Box Oil Seal,Mechanical,2,5550,2400,small,P009,RK-M04,2,RK-M04-SH02-BX02
RM060,Lubricating Grease,Liquid,0.5,1200,300,medium,P009,RK-M03,1,RK-M03-SH01-BX03
RM061,Rubber Conveyor Belt,Rubber,5,600,150,large,P010,RK-M08,1,RK-M08-SH01-BX03
RM062,Ball Bearing (6202),Mechanical,2,1350,450,medium,P010,RK-M04,1,RK-M04-SH01-BX01
RM063,Motor Shaft (Steel),Metal,2,450,150,large,P010,RK-M05,2,RK-M05-SH02-BX01
RM064,Copper Wire (0.5mm),Electrical,0.3,450,300,large,P010,RK-M01,1,RK-M01-SH01-BX01
RM065,Helical Gear Set,Mechanical,1,600,300,large,P010,RK-M05,3,RK-M05-SH03-BX02
RM066,MS Steel Frame,Metal,15,600,150,large,P010,RK-M07,1,RK-M07-SH01-BX01
RM067,Lubricating Grease,Liquid,0.5,1350,600,medium,P010,RK-M03,1,RK-M03-SH01-BX03
RM068,Hydraulic Cylinder,Mechanical,1,450,150,large,P011,RK-M05,3,RK-M05-SH03-BX03
