product_code,product_name,category,unit_price,mfg_cost,stock_qty,reorder_level,size_category,rack_code,shelf_level,box_code
P001,Ceiling Fan,Electrical,2500,1800,120,30,Medium,R01,S1,B01
P002,Water Pump (0.5HP),Pumps,6500,4800,60,15,Medium,R01,S2,B02
P003,Electric Motor (1HP),Motors,8500,6200,45,10,Medium,R02,S1,B03
P004,Air Compressor,Machinery,45000,38000,10,3,Large,R05,S1,B04
P005,Submersible Pump,Pumps,12000,9000,35,8,Medium,R02,S2,B05
P006,Industrial Exhaust Fan,Electrical,7000,5200,25,6,Medium,R03,S1,B06
P007,Transformer (5 KVA),Electrical,30000,25000,8,2,Large,R06,S1,B07
P008,Distribution Panel Board,Electrical,20000,16000,12,4,Large,R06,S2,B08
P009,Gear Box (Helical),Mechanical,15000,11000,20,5,Medium,R03,S2,B09
P010,Conveyor Belt System,Material Handling,55000,45000,6,2,Large,R07,S1,B10
P011,Hydraulic Press (10 Ton),Machinery,75000,62000,4,1,Large,R08,S1,B11
P012,Industrial Generator (5KW),Machinery,90000,75000,5,2,Large,R08,S2,B12
P013,Centrifugal Blower,Mechanical,18000,14000,15,4,Medium,R04,S1,B13
P014,Control Panel (Automation),Electrical,25000,20000,10,3,Medium,R04,S2,B14
P015,Diesel Engine (10HP),Machinery,60000,50000,7,2,Large,R09,S1,B15
P016,Cooling Tower (FRP),HVAC,85000,70000,3,1,Large,R09,S2,B16
P017,Pneumatic Cylinder,Pneumatics,5000,3500,50,12,Small,R02,S3,B17
P018,Industrial Weighing Scale,Instruments,22000,17000,9,3,Medium,R05,S2,B18
P019,Screw Conveyor,Material Handling,40000,32000,6,2,Large,R07,S2,B19
P020,Vibrating Screen (Industrial),Machinery,65000,54000,5,2,Large,R10,S1,B20
