material_code,material_name,category,unit,quantity_required,stock_qty,reorder_level,daily_consumption,size_category,lead_time_days,supplier_name,product_id,rack,shelf,box_id
RM001,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P001,RK-M01,1,RK-M01-SH01-BX02
RM002,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P001,RK-M04,1,RK-M04-SH01-BX01
RM003,Aluminum Die Cast Body,Metal,pcs,12,3000,450,6.58,large,12,AlumaCo,P001,RK-M04,1,RK-M04-SH01-BX02
RM004,Capacitor (2.5 uF),Electronic Component,pcs,0.8,20000,3000,43.84,small,7,ElectroBase,P001,RK-M01,3,RK-M01-SH03-BX03
RM005,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P001,RK-M02,3,RK-M02-SH03-BX02
RM006,ABS Plastic Blade,Plastic,pcs,2.2,10000,1500,21.92,medium,10,PlastiCore,P001,RK-M06,1,RK-M06-SH01-BX03
RM007,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P001,RK-M01,1,RK-M01-SH01-BX03
RM008,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P002,RK-M01,1,RK-M01-SH01-BX02
RM009,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P002,RK-M04,1,RK-M04-SH01-BX01
RM010,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P002,RK-M02,3,RK-M02-SH03-BX02
RM011,Cast Iron Pump Body,Metal,pcs,18,2000,300,4.38,large,14,IronCast Co,P002,RK-M04,1,RK-M04-SH01-BX03
RM012,Mechanical Seal,Mechanical,pcs,4.5,5000,750,10.96,large,12,SealTech,P002,RK-M02,3,RK-M02-SH03-BX03
RM013,Impeller (Stainless Steel),Metal,pcs,8,3000,450,6.58,large,10,SteelWorks,P002,RK-M04,2,RK-M04-SH02-BX01
RM014,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P002,RK-M01,1,RK-M01-SH01-BX03
RM015,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P003,RK-M01,1,RK-M01-SH01-BX02
RM016,Silicon Steel Sheet,Metal,kg,3.2,8000,1200,17.53,large,8,SteelWorks,P003,RK-M04,1,RK-M04-SH01-BX01
RM017,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P003,RK-M02,3,RK-M02-SH03-BX02
RM018,Motor Shaft (Steel),Metal,pcs,6.5,4000,600,8.77,large,10,SteelWorks,P003,RK-M04,2,RK-M04-SH02-BX02
RM019,Rotor Assembly,Mechanical,pcs,14,2000,300,4.38,large,15,MechParts,P003,RK-M03,1,RK-M03-SH01-BX01
RM020,Stator Frame (Cast Iron),Metal,pcs,20,1500,225,3.29,large,14,IronCast Co,P003,RK-M04,2,RK-M04-SH02-BX03
RM021,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P003,RK-M01,1,RK-M01-SH01-BX03
RM022,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P004,RK-M01,1,RK-M01-SH01-BX02
RM023,Ball Bearing (6202),Mechanical,pcs,1.5,15000,2250,32.88,large,9,BearingPro,P004,RK-M02,3,RK-M02-SH03-BX02
RM024,Cast Iron Pump Body,Metal,pcs,18,2000,300,4.38,large,14,IronCast Co,P004,RK-M04,1,RK-M04-SH01-BX03
RM025,Pressure Tank (24L Steel),Metal,pcs,35,800,120,1.75,large,12,SteelWorks,P004,RK-M04,3,RK-M04-SH03-BX01
RM026,Pressure Relief Valve,Mechanical,pcs,3.2,6000,900,13.15,large,10,ValveCo,P004,RK-M03,1,RK-M03-SH01-BX02
RM027,Piston Ring Set,Mechanical,pcs,5,4000,600,8.77,large,12,MechParts,P004,RK-M03,1,RK-M03-SH01-BX03
RM028,Mechanical Seal,Mechanical,pcs,4.5,5000,750,10.96,large,12,SealTech,P004,RK-M02,3,RK-M02-SH03-BX03
RM029,Power Cable (3-core),Electrical,m,1.2,12000,1800,26.3,large,7,WireCo,P004,RK-M01,1,RK-M01-SH01-BX03
RM030,Copper Wire (1.5mm),Electrical,kg,8.5,5000,750,10.96,large,10,CopperLine Ltd,P005,RK-M01,1,RK-M01-SH01-BX02
